Team,Event,Name,Sex,NOC,Year,City,Sport,Medal
China,Men's Synchronised 10m Platform Team,Yuan Cao,M,CHN,2020,Tokyo,Diving,Silver
China,Men's Synchronised 3m Springboard,Zongyuan Wang,M,CHN,2024,Paris,Diving,Gold
China,Men's Synchronised 3m Springboard Team,Zongyuan Wang,M,CHN,2020,Tokyo,Diving,Gold
China,Men's Team,Zhendong Fan,M,CHN,2020,Tokyo,Table Tennis,Gold
China,Men's Windsurfer - RS:X,Kun Bi,M,CHN,2020,Tokyo,Sailing,Bronze
China,Mixed 4 x 100m Medley Relay,Yufei Zhang,F,CHN,2024,Paris,Swimming,Silver
China,Mixed 4 x 100m Medley Relay Team,Jiayu Xu,M,CHN,2020,Tokyo,Swimming,Silver
China,Mixed Doubles,Chuqin Wang,M,CHN,2024,Paris,Table Tennis,Gold
China,Mixed Doubles Team,Ping Huang,F,CHN,2020,Tokyo,Badminton,Gold
China,Shooting Women's Trap,Gao E,F,CHN,2000,Sydney,Shooting,Bronze
China,Skeet Mixed Team,Yiting Jiang,F,CHN,2024,Paris,Shooting,Bronze
China,Skeet Women,Meng Wei,F,CHN,2020,Tokyo,Shooting,Bronze
China,Table Tennis Men's Team,Ma Lin,M,CHN,2008,Beijing,Table Tennis,Gold
China,Table Tennis Women's Team,Guo Yue,F,CHN,2008,Beijing,Table Tennis,Gold
China,Taekwondo Men's Flyweight,Zhao Shuai,M,CHN,2016,Rio de Janeiro,Taekwondo,Gold
China,Taekwondo Men's Welterweight,Zhu Guo,M,CHN,2008,Beijing,Taekwondo,Bronze
China,Taekwondo Women's Featherweight,Hou Yuzhuo,F,CHN,2012,London,Taekwondo,Silver
China,Taekwondo Women's Flyweight,Wu Jingyu,F,CHN,2008,Beijing,Taekwondo,Gold
China,Taekwondo Women's Heavyweight,Chen Zhong,F,CHN,2000,Sydney,Taekwondo,Gold
China,Team,Yu Feng,F,CHN,2020,Tokyo,Artistic Swimming,Silver
China,Trampolining Women's Individual,Huang Shanshan,F,CHN,2004,Athina,Trampolining,Bronze
China,Weightlifting Women's Featherweight,Yang Xia,F,CHN,2000,Sydney,Weightlifting,Gold
China,Weightlifting Women's Flyweight,Li Zhuo,F,CHN,2004,Athina,Weightlifting,Silver
China,Weightlifting Women's Heavyweight,Cao Lei,F,CHN,2008,Beijing,Weightlifting,Gold
China,Weightlifting Women's Light-Heavyweight,Lin Weining,F,CHN,2000,Sydney,Weightlifting,Gold
China,Weightlifting Women's Lightweight,Chen Yanqing,F,CHN,2004,Athina,Weightlifting,Gold
China,Weightlifting Women's Middleweight,Chen Xiaomin,F,CHN,2000,Sydney,Weightlifting,Gold
China,Weightlifting Women's Super-Heavyweight,Ding Meiyuan,F,CHN,2000,Sydney,Weightlifting,Gold
China,Women,Lingling Liu,F,CHN,2020,Tokyo,Trampoline Gymnastics,Silver
China,Women's +81kg,Wenwen Li,F,CHN,2024,Paris,Weightlifting,Gold
China,Women's +87kg,Wenwen Li,F,CHN,2020,Tokyo,Weightlifting,Gold
China,Women's 100m Butterfly,Yufei Zhang,F,CHN,2020,Tokyo,Swimming,Silver
China,Women's 10m Platform,Yuxi Chen,F,CHN,2020,Tokyo,Diving,Silver
China,Women's 20km Race Walk,Hong Liu,F,CHN,2020,Tokyo,Athletics,Bronze
China,Women's 3m Springboard,Tingmao Shi,F,CHN,2020,Tokyo,Diving,Gold
China,Women's 4 x 100m Freestyle Relay,Yufei Zhang,F,CHN,2024,Paris,Swimming,Bronze
China,Women's 4 x 100m Medley Relay,Yufei Zhang,F,CHN,2024,Paris,Swimming,Bronze
China,Women's 4 x 200m Freestyle Relay,Junxuan Yang,F,CHN,2024,Paris,Swimming,Bronze
China,Women's 4 x 200m Freestyle Relay Team,Jie Dong,F,CHN,2020,Tokyo,Swimming,Gold
China,Women's 400m Freestyle,Bingjie Li,F,CHN,2020,Tokyo,Swimming,Bronze
China,Women's 49kg,Zhihui Hou,F,CHN,2020,Tokyo,Weightlifting,Gold
China,Women's 50kg,Yu Wu,F,CHN,2024,Paris,Boxing,Gold
China,Women's 54kg,Yuan Chang,F,CHN,2024,Paris,Boxing,Gold
China,Women's 55kg,Qiuyun Liao,F,CHN,2020,Tokyo,Weightlifting,Silver
China,Women's 59kg,Shifang Luo,F,CHN,2024,Paris,Weightlifting,Gold
China,Women's 60kg,Wenlu Yang,F,CHN,2024,Paris,Boxing,Silver
China,Women's 66kg,Liu Yang,F,CHN,2024,Paris,Boxing,Silver
China,Women's 75kg,Qian Li,F,CHN,2024,Paris,Boxing,Gold
China,Women's 87kg,Zhouyu Wang,F,CHN,2020,Tokyo,Weightlifting,Gold
China,Women's Balance Beam,Chenchen Guan,F,CHN,2020,Tokyo,Artistic Gymnastics,Gold
China,Women's Canoe Double 500m,Shixiao Xu,F,CHN,2024,Paris,Canoe Sprint,Gold
China,Women's Canoe Double 500m Team,Mengya Sun,F,CHN,2020,Tokyo,Canoe Sprint,Gold
China,Women's Doubles,Chen Chen,F,CHN,2024,Paris,Badminton,Gold
China,Women's Doubles Team,Chen Chen,F,CHN,2020,Tokyo,Badminton,Silver
China,Women's Eight Team,Linlin Guo,F,CHN,2020,Tokyo,Rowing,Bronze
China,Women's Freestyle 50kg,Yanan Sun,F,CHN,2020,Tokyo,Wrestling,Silver
China,Women's Freestyle 53kg,Qianyu Pang,F,CHN,2020,Tokyo,Wrestling,Silver
China,Women's Freestyle 76kg,Qian Zhou,F,CHN,2020,Tokyo,Wrestling,Bronze
China,Women's Javelin Throw,Shiying Liu,F,CHN,2020,Tokyo,Athletics,Gold
China,Women's Kumite +61kg,Li Gong,F,CHN,2020,Tokyo,Karate,Bronze
China,Women's Kumite -61kg,Xiaoyan Yin,F,CHN,2020,Tokyo,Karate,Silver
China,Women's Middle (69-75kg),Qian Li,F,CHN,2020,Tokyo,Boxing,Silver
China,Women's Quadruple Sculls Team,Yunxia Chen,F,CHN,2020,Tokyo,Rowing,Gold
China,Women's Singles,Meng Chen,F,CHN,2020,Tokyo,Table Tennis,Gold
China,Women's Synchronised 10m Platform,Yuxi Chen,F,CHN,2024,Paris,Diving,Gold
China,Women's Synchronised 10m Platform Team,Yuxi Chen,F,CHN,2020,Tokyo,Diving,Gold
China,Women's Synchronised 3m Springboard,Yiwen Chen,F,CHN,2024,Paris,Diving,Gold
China,Women's Synchronised 3m Springboard Team,Tingmao Shi,F,CHN,2020,Tokyo,Diving,Gold
China,Women's Team,Meng Chen,F,CHN,2020,Tokyo,Table Tennis,Gold
China,Women's Team Sprint Team,Shanju Bao,F,CHN,2020,Tokyo,Cycling Track,Gold
China,Women's Welter (64-69kg),Hong Gu,F,CHN,2020,Tokyo,Boxing,Silver
China,Women's Windsurfer - RS:X,Yunxiu Lu,F,CHN,2020,Tokyo,Sailing,Gold
China,"Wrestling Women's Heavyweight, Freestyle",Wang Xu,F,CHN,2004,Athina,Wrestling,Gold
Chinese Taipei,Men -60 kg,Wei Yang,M,TPE,2020,Tokyo,Judo,Silver
Chinese Taipei,Men's Doubles,Chi-lin Wang,M,TPE,2024,Paris,Badminton,Gold
Chinese Taipei,Men's Doubles Team,Yang Lee,M,TPE,2020,Tokyo,Badminton,Gold
Chinese Taipei,Men's Individual Stroke Play,T Pan,M,TPE,2020,Tokyo,Golf,Bronze
Chinese Taipei,Mixed Doubles Team,Ching Cheng,F,TPE,2020,Tokyo,Table Tennis,Bronze
Chinese Taipei,Skeet Men,Yuan Lee,M,TPE,2024,Paris,Shooting,Bronze
Chinese Taipei,Taekwondo Men's Flyweight,Huang Chih-hsiung,M,TPE,2000,Sydney,Taekwondo,Bronze
Chinese Taipei,Taekwondo Women's Flyweight,Chi Shu-ju,F,TPE,2000,Sydney,Taekwondo,Bronze
Chinese Taipei,Weightlifting Women's Featherweight,Li Feng-ying,F,TPE,2000,Sydney,Weightlifting,Silver
Chinese Taipei,Weightlifting Women's Heavyweight,Kuo Yi-hang,F,TPE,2000,Sydney,Weightlifting,Bronze
Chinese Taipei,Weightlifting Women's Middleweight,Lu Ying-chi,F,TPE,2008,Beijing,Weightlifting,Bronze
Chinese Taipei,Women -57kg,Chia-ling Lo,F,TPE,2020,Tokyo,Taekwondo,Bronze
Chinese Taipei,Women's 57kg,Ting Lin,F,TPE,2024,Paris,Boxing,Gold
Chinese Taipei,Women's 59kg,Hsing-chun Kuo,F,TPE,2020,Tokyo,Weightlifting,Gold
Chinese Taipei,Women's 60kg,Yi Wu,F,TPE,2024,Paris,Boxing,Bronze
Chinese Taipei,Women's 64kg,Wen-huei Chen,F,TPE,2020,Tokyo,Weightlifting,Bronze
Chinese Taipei,Women's 66kg,Chin Chen,F,TPE,2024,Paris,Boxing,Bronze
Chinese Taipei,Women's Fly (48-51kg),Hsiao-wen Huang,F,TPE,2020,Tokyo,Boxing,Bronze
Chinese Taipei,Women's Kumite -55kg,Tzuyun Wen,F,TPE,2020,Tokyo,Karate,Bronze
Clearwater,"Equestrianism Mixed Dressage, Team",Anne Olst,F,DEN,2008,Beijing,Equestrianism,Bronze
Colombia,Athletics Women's Triple Jump,Caterine Mena,F,COL,2012,London,Athletics,Silver
Colombia,Boxing Women's Flyweight,Ingrit Victoria,F,COL,2016,Rio de Janeiro,Boxing,Bronze
Colombia,Cycling Women's BMX,Mariana Londoo,F,COL,2012,London,Cycling,Gold
Colombia,Men's 67kg,Javier Mosquera,M,COL,2020,Tokyo,Weightlifting,Silver
Colombia,Men's 89kg,Yeison Lopez,M,COL,2024,Paris,Weightlifting,Silver
Colombia,Men's Horizontal Bar,Angel Barajas,M,COL,2024,Paris,Artistic Gymnastics,Silver
Colombia,Taekwondo Men's Flyweight,Oscar Oviedo,M,COL,2012,London,Taekwondo,Bronze
Colombia,Weightlifting Women's Featherweight,Mabel Mena,F,COL,2004,Athina,Weightlifting,Bronze
Colombia,Weightlifting Women's Heavyweight,Mara Ocor,F,COL,2000,Sydney,Weightlifting,Gold
Colombia,Women,Mariana Pajon,F,COL,2020,Tokyo,Cycling BMX Racing,Silver
Colombia,Women's 20km Race Walk,Lorena Arenas,F,COL,2020,Tokyo,Athletics,Silver
Colombia,Women's 71kg,Leivis Sanchez,F,COL,2024,Paris,Weightlifting,Silver
Colombia,Women's Freestyle 76kg,Tatiana Renteria,F,COL,2024,Paris,Wrestling,Bronze
Colombia,"Wrestling Women's Lightweight, Freestyle",Jackeline Castillo,F,COL,2008,Beijing,Wrestling,Bronze
Croatia,Athletics Women's Javelin Throw,Sara Kolak,F,CRO,2016,Rio de Janeiro,Athletics,Gold
Croatia,Men -80kg,Toni Kanaet,M,CRO,2020,Tokyo,Taekwondo,Bronze
Croatia,Men's Doubles Team,Marin Cilic,M,CRO,2020,Tokyo,Tennis,Silver
Croatia,Men's Horizontal Bar,Tin Srbic,M,CRO,2020,Tokyo,Artistic Gymnastics,Silver
Croatia,Men's One Person Dinghy - Laser,Tonci Stipanovic,M,CRO,2020,Tokyo,Sailing,Silver
Croatia,Men's Pair,Martin Sinkovic,M,CRO,2024,Paris,Rowing,Gold
Croatia,Men's Pair Team,Martin Sinkovic,M,CRO,2020,Tokyo,Rowing,Gold
Croatia,Men's Single Sculls,Damir Martin,M,CRO,2020,Tokyo,Rowing,Bronze
Croatia,Rowing Men's Coxed Eights,Igor Boraska,M,CRO,2000,Sydney,Rowing,Bronze
Croatia,Rowing Men's Quadruple Sculls,Damir Martin,M,CRO,2012,London,Rowing,Silver
Croatia,Taekwondo Women's Featherweight,Martina Zubi,F,CRO,2008,Beijing,Taekwondo,Bronze
Croatia,Taekwondo Women's Flyweight,Lucija Zaninovi,F,CRO,2012,London,Taekwondo,Bronze
Croatia,Weightlifting Men's Featherweight,Nikolaj Pealov,M,CRO,2000,Sydney,Weightlifting,Gold
Croatia,Weightlifting Men's Lightweight,Nikolaj Pealov,M,CRO,2004,Athina,Weightlifting,Bronze
Croatia,Women -67kg,Matea Jelic,F,CRO,2020,Tokyo,Taekwondo,Gold
Cuba,Men +80kg,Yunier Alba,M,CUB,2020,Tokyo,Taekwondo,Bronze
Cuba,Men's 63.5kg,Erislandy Alvarez,M,CUB,2024,Paris,Boxing,Gold
Cuba,Men's 80kg,Arlen Lopez,M,CUB,2024,Paris,Boxing,Bronze
Cuba,Men's Canoe Double 1000m Team,Dayan Jorge,M,CUB,2020,Tokyo,Canoe Sprint,Gold
Cuba,Men's Feather (52-57kg),Lazaro Alvarez,M,CUB,2020,Tokyo,Boxing,Bronze
Cuba,Men's Freestyle 97kg,Reineris Salas,M,CUB,2020,Tokyo,Wrestling,Bronze
Cuba,Men's Greco-Roman 130kg,Mijain Lopez,M,CUB,2020,Tokyo,Wrestling,Gold
Cuba,Men's Greco-Roman 60kg,Alberto Orta,M,CUB,2020,Tokyo,Wrestling,Gold
Cuba,Men's Heavy (81-91kg),la Julio,M,CUB,2020,Tokyo,Boxing,Gold
Cuba,Men's Light (57-63kg),Andy Cruz,M,CUB,2020,Tokyo,Boxing,Gold
Cuba,Men's Light Heavy (75-81kg),Arlen Lopez,M,CUB,2020,Tokyo,Boxing,Gold
Cuba,Men's Long Jump,Miguel Echevarria,M,CUB,2020,Tokyo,Athletics,Silver
Cuba,Men's Welter (63-69kg),Roniel Iglesias,M,CUB,2020,Tokyo,Boxing,Gold
Cuba,Taekwondo Men's Welterweight,ngel Fuentes,M,CUB,2000,Sydney,Taekwondo,Gold
Cuba,Taekwondo Women's Flyweight,Urbia Rodrguez,F,CUB,2000,Sydney,Taekwondo,Silver
Cuba,Women +78 kg,Idalys Ortiz,F,CUB,2020,Tokyo,Judo,Silver
Cuba,Women's Freestyle 76kg,Carid Marin,F,CUB,2024,Paris,Wrestling,Bronze
Cyprus,Men's Dinghy,Pavlos Kontides,M,CYP,2024,Paris,Sailing,Silver
Czech Republic,Boxing Men's Light-Heavyweight,Rudolf Kraj,M,CZE,2000,Sydney,Boxing,Silver
Czech Republic,Men +100 kg,Lukas Krpalek,M,CZE,2020,Tokyo,Judo,Gold
Czech Republic,Men's Canoe,Lukas Rohan,M,CZE,2020,Tokyo,Canoe Slalom,Silver
Czech Republic,Men's Foil Individual,Alexander Choupenitch,M,CZE,2020,Tokyo,Fencing,Bronze
Czech Republic,Men's Javelin Throw,Jakub Vadlejch,M,CZE,2020,Tokyo,Athletics,Silver
Czech Republic,Men's Kayak,Jiri Prskavec,M,CZE,2020,Tokyo,Canoe Slalom,Gold
Czech Republic,Men's Kayak Double 1000m Team,Josef Dostal,M,CZE,2020,Tokyo,Canoe Sprint,Bronze
Czech Republic,Modern Pentathlon Men's Individual,Libor Capalini,M,CZE,2004,Athina,Modern Pentathlon,Bronze
Czech Republic,Rowing Men's Quadruple Sculls,Jakub Hank,M,CZE,2004,Athina,Rowing,Silver
Czech Republic,Trap Men,David Kostelecky,M,CZE,2020,Tokyo,Shooting,Silver
Czech Republic,Women's Doubles Team,Barbora Krejcikova,F,CZE,2020,Tokyo,Tennis,Gold
Czechia,Men's Canoe Single 1000m,Martin Fuksa,M,CZE,2024,Paris,Canoe Sprint,Gold
Czechia,Men's Kayak Single 1000m,Josef Dostal,M,CZE,2024,Paris,Canoe Sprint,Gold
Czechia,Men's Г‰pГ©e Team,Jiri Beran,M,CZE,2024,Paris,Fencing,Bronze
Czechia,Mixed Doubles,Tomas Machac,M,CZE,2024,Paris,Tennis,Gold
Czechia,Women's Javelin Throw,Nikola Ogrodnikova,F,CZE,2024,Paris,Athletics,Bronze
CГґte d'Ivoire,Men +80kg,Sallah Cisse,M,CIV,2024,Paris,Taekwondo,Bronze
DPR Korea,Men's Greco-Roman 60kg,Ung Ri,M,PRK,2024,Paris,Wrestling,Bronze
DPR Korea,Mixed Doubles,Yong Kim,F,PRK,2024,Paris,Table Tennis,Silver
DPR Korea,Women's 10m Platform,Rae Kim,F,PRK,2024,Paris,Diving,Bronze
DPR Korea,Women's 54kg,Cholmi Pang,F,PRK,2024,Paris,Boxing,Bronze
DPR Korea,Women's Freestyle 53kg,Gyong Choe,F,PRK,2024,Paris,Wrestling,Bronze
DPR Korea,Women's Synchronised 10m Platform,Rae Kim,F,PRK,2024,Paris,Diving,Silver
Denmark,Cycling Men's Omnium,Lasse Hansen,M,DEN,2012,London,Cycling,Gold
Denmark,Men,Lukas Joergensen,M,DEN,2024,Paris,Handball,Gold
Denmark,Men -80kg,Edi Hrnic,M,DEN,2024,Paris,Taekwondo,Bronze
Denmark,Men Team,Lasse Andersson,M,DEN,2020,Tokyo,Handball,Silver
Denmark,Men's Greco-Roman 87kg,Ali Bisultanov,M,DEN,2024,Paris,Wrestling,Bronze
Denmark,Men's Madison Team,Norman Hansen,M,DEN,2020,Tokyo,Cycling Track,Gold
Denmark,Men's Pair Team,Joachim Sutton,M,DEN,2020,Tokyo,Rowing,Bronze
Denmark,Men's Team Pursuit Team,Norman Hansen,M,DEN,2020,Tokyo,Cycling Track,Silver
Denmark,Rowing Women's Coxless Pairs,Anne Andersen,F,DEN,2016,Rio de Janeiro,Rowing,Bronze
Denmark,Sailing Men's One Person Heavyweight Dinghy,Jonas Christensen,M,DEN,2012,London,Sailing,Silver
Denmark,Sailing Men's Skiff,Peter Lang,M,DEN,2012,London,Sailing,Bronze
Denmark,Sailing Women's Skiff,Jena Hansen,F,DEN,2016,Rio de Janeiro,Sailing,Bronze
Denmark,Sailing Women's Three Person Keelboat,Dorte Jensen,F,DEN,2004,Athina,Sailing,Bronze
Denmark,Skeet Men,Jesper Hansen,M,DEN,2020,Tokyo,Shooting,Silver
Denmark,Women's 50m Freestyle,Pernille Blume,F,DEN,2020,Tokyo,Swimming,Bronze
Denmark,Women's Dinghy,Anne-marie Rindom,F,DEN,2024,Paris,Sailing,Silver
Denmark,Women's Kayak Single 200m,Aastrand Jorgensen,F,DEN,2020,Tokyo,Canoe Sprint,Bronze
Denmark,Women's Kayak Single 500m,Aastrand Jorgensen,F,DEN,2020,Tokyo,Canoe Sprint,Bronze
Denmark,Women's Madison Team,Amalie Dideriksen,F,DEN,2020,Tokyo,Cycling Track,Silver
Denmark,Women's One Person Dinghy - Laser Radial,Anne-marie Rindom,F,DEN,2020,Tokyo,Sailing,Gold
Digby,"Equestrianism Mixed Dressage, Team",Nathalie Sayn-wittgenstein-berleburg,F,DEN,2008,Beijing,Equestrianism,Bronze
Dominican Republic,4 x 400m Relay Mixed Team,Andres Feliz,M,DOM,2020,Tokyo,Athletics,Silver
Dominican Republic,Baseball Team,Dario Alvarez,M,DOM,2020,Tokyo,Baseball/Softball,Bronze
Dominican Republic,Men's 51kg,Yunior Alcantara,M,DOM,2024,Paris,Boxing,Bronze
Dominican Republic,Men's 80kg,Javier Pinales,M,DOM,2024,Paris,Boxing,Bronze
Dominican Republic,Men's 81kg,Zacarias Bonnat,M,DOM,2020,Tokyo,Weightlifting,Silver
Dominican Republic,Women's 400m,Marileidy Paulino,F,DOM,2020,Tokyo,Athletics,Silver
Dominican Republic,Women's 87kg,Dominga Santana,F,DOM,2020,Tokyo,Weightlifting,Bronze
Don Schufro,"Equestrianism Mixed Dressage, Team",Lars Helgstrand,M,DEN,2008,Beijing,Equestrianism,Bronze
EOR,Women's 75kg,Winner Djankeu,F,EOR,2024,Paris,Boxing,Bronze
Ecuador,Marathon Race Walk Relay Mixed,Daniel Pintado,M,ECU,2024,Paris,Athletics,Silver
Ecuador,Men's Road Race,Richard Carapaz,M,ECU,2020,Tokyo,Cycling Road,Gold
Ecuador,Women's 71kg,Paola Palacios,F,ECU,2024,Paris,Weightlifting,Bronze
Ecuador,Women's 76kg,Patricia Dajomes,F,ECU,2020,Tokyo,Weightlifting,Gold
Ecuador,Women's 81kg,Patricia Dajomes,F,ECU,2024,Paris,Weightlifting,Bronze
Ecuador,Women's 87kg,Yajaira Salazar,F,ECU,2020,Tokyo,Weightlifting,Silver
Egypt,Men -80kg,Seif Eissa,M,EGY,2020,Tokyo,Taekwondo,Bronze
Egypt,Men's Greco-Roman 67kg,Elsayed Elsayed,M,EGY,2020,Tokyo,Wrestling,Bronze
Egypt,Men's Individual,Ahmed Elgendy,M,EGY,2020,Tokyo,Modern Pentathlon,Silver
Egypt,Women -67kg,Hedaya Malak,F,EGY,2020,Tokyo,Taekwondo,Bronze
Egypt,Women's 81kg,Sara Ahmed,F,EGY,2024,Paris,Weightlifting,Silver
Egypt,Women's Kumite +61kg,Feryal Abdelaziz,F,EGY,2020,Tokyo,Karate,Gold
Egypt,Women's Kumite -61kg,Giana Lotfy,F,EGY,2020,Tokyo,Karate,Bronze
Elvis Va,"Equestrianism Mixed Dressage, Team",Nadine (-biffar-),F,GER,2008,Beijing,Equestrianism,Gold
Estonia,Judo Men's Half-Middleweight,Aleksei Budlin,M,EST,2000,Sydney,Judo,Bronze
Estonia,Women's Г‰pГ©e Team,Julia Beljajeva,F,EST,2020,Tokyo,Fencing,Gold
Ethiopia,Men's 3000m Steeplechase,Lamecha Girma,M,ETH,2020,Tokyo,Athletics,Silver
Fiji,Men,Iowane Teba,M,FIJ,2024,Paris,Rugby Sevens,Silver
Fiji,Men Team,Masikau Baleiwairiki,M,FIJ,2020,Tokyo,Rugby Sevens,Gold
Fiji,Rugby Sevens Men's Rugby Sevens,Ro Dakuwaqa,M,FIJ,2016,Rio de Janeiro,Rugby Sevens,Gold
Fiji,Women Team,Lavena Cavuru,F,FIJ,2020,Tokyo,Rugby Sevens,Bronze
Finland,Boxing Women's Lightweight,Mira Potkonen,F,FIN,2016,Rio de Janeiro,Boxing,Bronze
Finland,Men's 200m Breaststroke,Matti Mattsson,M,FIN,2020,Tokyo,Swimming,Bronze
Finland,Rowing Women's Lightweight Double Sculls,Minna Nieminen,F,FIN,2008,Beijing,Rowing,Silver
Finland,Sailing Mixed Skiff,Jyrki Jrvi,M,FIN,2000,Sydney,Sailing,Gold
Finland,Women's Light (57-60kg),Johanna Potkonen,F,FIN,2020,Tokyo,Boxing,Bronze
France,B-Boys,Dann Dany,M,FRA,2024,Paris,Breaking,Silver
France,Boxing Women's Flyweight,Sarah Ourahmoune,F,FRA,2016,Rio de Janeiro,Boxing,Silver
France,Boxing Women's Lightweight,Estelle Mossely,F,FRA,2016,Rio de Janeiro,Boxing,Gold
France,Cycling Men's Omnium,Bryan Coquard,M,FRA,2012,London,Cycling,Silver
France,Cycling Men's Team Sprint,Laurent Gan,M,FRA,2000,Sydney,Cycling,Gold
France,Cycling Women's 500 metres Time Trial,Flicia (-vetu),F,FRA,2000,Sydney,Cycling,Gold
France,Cycling Women's BMX,Anne-Caroline Chausson,F,FRA,2008,Beijing,Cycling,Gold
France,Eventing Team,Thomas Carlile,M,FRA,2020,Tokyo,Equestrian,Bronze
France,Lightweight Women's Double Sculls Team,Claire Bove,F,FRA,2020,Tokyo,Rowing,Silver
France,Men +100 kg,Teddy Riner,M,FRA,2020,Tokyo,Judo,Bronze
France,Men -58kg,Cyrian Ravet,M,FRA,2024,Paris,Taekwondo,Bronze
France,Men -60 kg,Luka Mkheidze,M,FRA,2020,Tokyo,Judo,Bronze
France,Men Team,Luc Abalo,M,FRA,2020,Tokyo,Handball,Gold
France,Men's +92kg,Djamili-dini Aboudou,M,FRA,2024,Paris,Boxing,Bronze
France,Men's 4 x 100m Medley Relay,Rafael Fente--damers,M,FRA,2024,Paris,Swimming,Bronze
France,Men's 51kg,Billal Bennama,M,FRA,2024,Paris,Boxing,Silver
France,Men's 63.5kg,Sofiane Oumiha,M,FRA,2024,Paris,Boxing,Silver
France,Men's Canoe Single,Nicolas Gestin,M,FRA,2024,Paris,Canoe Slalom,Gold
France,Men's Decathlon,Kevin Mayer,M,FRA,2020,Tokyo,Athletics,Silver
France,Men's Double Sculls Team,Matthieu Androdias,M,FRA,2020,Tokyo,Rowing,Gold
France,Men's Foil Team,le Erwann,M,FRA,2020,Tokyo,Fencing,Gold
France,Men's Kayak Single,Titouan Castryck,M,FRA,2024,Paris,Canoe Slalom,Silver
France,Men's Kumite -67kg,da Steven,M,FRA,2020,Tokyo,Karate,Gold
France,Men's Madison Team,Donavan Grondin,M,FRA,2020,Tokyo,Cycling Track,Bronze
France,Men's Sabre Team,Bolade Apithy,M,FRA,2024,Paris,Fencing,Bronze
France,Men's Team Sprint Team,Florian Grengbo,M,FRA,2020,Tokyo,Cycling Track,Bronze
France,Men's Windsurfer - RS:X,Thomas Goyard,M,FRA,2020,Tokyo,Sailing,Silver
France,Mixed Relay Team,Cassandre Beaugrand,F,FRA,2020,Tokyo,Triathlon,Bronze
France,Mixed Team,Clarisse Agbegnenou,F,FRA,2020,Tokyo,Judo,Gold
France,Rowing Men's Lightweight Double Sculls,Thibaud Chapelle,M,FRA,2000,Sydney,Rowing,Bronze
France,Sailing Men's One Person Heavyweight Dinghy,Jonathan Lobert,M,FRA,2012,London,Sailing,Bronze
France,Sailing Men's Two Person Keelboat,Pascal Rambeau,M,FRA,2004,Athina,Sailing,Bronze
France,Shooting Women's Trap,Delphine Racinet-reau,F,FRA,2000,Sydney,Shooting,Silver
France,Taekwondo Men's Heavyweight,Pascal Gentil,M,FRA,2000,Sydney,Taekwondo,Bronze
France,Taekwondo Women's Welterweight,Gwladys Pangue,F,FRA,2008,Beijing,Taekwondo,Bronze
France,Women +67kg,Althea Laurin,F,FRA,2020,Tokyo,Taekwondo,Bronze
France,Women +78 kg,Romane Dicko,F,FRA,2020,Tokyo,Judo,Bronze
France,Women -52 kg,Amandine Buchard,F,FRA,2020,Tokyo,Judo,Silver
France,Women -57 kg,Leonie Cysique,F,FRA,2020,Tokyo,Judo,Silver
France,Women -63 kg,Clarisse Agbegnenou,F,FRA,2020,Tokyo,Judo,Gold
France,Women -78 kg,Madeleine Malonga,F,FRA,2020,Tokyo,Judo,Silver
France,Women Team,Coralie Bertrand,F,FRA,2020,Tokyo,Rugby Sevens,Silver
France,Women's 1500m Freestyle,Anastasiia Kirpichnikova,F,FRA,2024,Paris,Swimming,Silver
France,Women's Foil Team,Anita Blaze,F,FRA,2020,Tokyo,Fencing,Silver
France,Women's Kayak Cross,Angele Hug,F,FRA,2024,Paris,Canoe Slalom,Silver
France,Women's Kite,Lauriane Nolot,F,FRA,2024,Paris,Sailing,Silver
France,Women's Sabre Team,Sara Balzer,F,FRA,2020,Tokyo,Fencing,Silver
France,Women's Skiff,Sarah Steyaert,F,FRA,2024,Paris,Sailing,Bronze
France,Women's Two Person Dinghy - 470 Team,Camille Lecointre,F,FRA,2020,Tokyo,Sailing,Bronze
France,Women's Windsurfer - RS:X,Charline Picon,F,FRA,2020,Tokyo,Sailing,Silver
France,Women's Г‰pГ©e Team,Coraline Vitalis,F,FRA,2024,Paris,Fencing,Silver
France,"Wrestling Women's Lightweight, Freestyle",Anna Gomis,F,FRA,2004,Athina,Wrestling,Bronze
France,"Wrestling Women's Middleweight, Freestyle",Lise (golliot-),F,FRA,2004,Athina,Wrestling,Bronze
Gabon,Taekwondo Men's Heavyweight,Anthony Mylann,M,GAB,2012,London,Taekwondo,Silver
Georgia,Men +100 kg,Guram Tushishvili,M,GEO,2020,Tokyo,Judo,Silver
Georgia,Men -66 kg,Vazha Margvelashvili,M,GEO,2020,Tokyo,Judo,Silver
Georgia,Men -73 kg,Lasha Shavdatuashvili,M,GEO,2020,Tokyo,Judo,Silver
Georgia,Men -90 kg,Lasha Bekauri,M,GEO,2020,Tokyo,Judo,Gold
Georgia,Men's +102kg,Lasha Talakhadze,M,GEO,2024,Paris,Weightlifting,Gold
Georgia,Men's +109kg,Lasha Talakhadze,M,GEO,2020,Tokyo,Weightlifting,Gold
Georgia,Men's 63.5kg,Lasha Guruli,M,GEO,2024,Paris,Boxing,Bronze
Georgia,Men's 96kg,Anton Pliesnoi,M,GEO,2020,Tokyo,Weightlifting,Bronze
Georgia,Men's Freestyle 125kg,Geno Petriashvili,M,GEO,2020,Tokyo,Wrestling,Silver
