Name,Year,Sex,Team,NOC,City,Sport,Event,Medal
David Westcott,1984,M,Great Britain,GBR,Los Angeles,Hockey,Hockey Men's Hockey,Bronze
David Wharton,1988,M,United States,USA,Seoul,Swimming,Swimming Men's 400 metres Individual Medley,Silver
David Wight,1956,M,United States,USA,Melbourne,Rowing,Rowing Men's Coxed Eights,Gold
David Wilkie,1972,M,Great Britain,GBR,Munich,Swimming,Swimming Men's 200 metres Breaststroke,Silver
David Wilkins,1980,M,Ireland,IRL,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
David Wilson,1984,M,United States,USA,Los Angeles,Swimming,Swimming Men's 100 metres Backstroke,Silver
David Wilson,1984,M,United States,USA,Los Angeles,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
David Wottle,1972,M,United States,USA,Munich,Athletics,Athletics Men's 800 metres,Gold
Davide Manenti,2020,M,Italy,ITA,Tokyo,Athletics,Men's 4 x 100m Relay Team,Gold
Davide Rummolo,2000,M,Italy,ITA,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Davide Tizzano,1988,M,Italy,ITA,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Davidson Ezinwa,1992,M,Nigeria,NGR,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Davie Selke,2016,M,Germany,GER,Rio de Janeiro,Football,Football Men's Football,Silver
Davina Waddy,2024,F,New Zealand,NZL,Paris,Rowing,Women's Four,Bronze
Davis Kamoga,1996,M,Uganda,UGA,Atlanta,Athletics,Athletics Men's 400 metres,Bronze
Davis Phinney,1984,M,United States,USA,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Davis Tarwater,2012,M,United States,USA,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Davit Chakvetadze,2016,M,Russia,RUS,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Davit Gobejishvili,1988,M,Soviet Union,URS,Seoul,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
Davit Gvantseladze,1964,M,Soviet Union,URS,Tokyo,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Bronze
Davit Hambardzumyan,1980,M,Soviet Union,URS,Moskva,Diving,Diving Men's Platform,Bronze
Davit Khakhaleishvili,1992,M,Unified Team,EUN,Barcelona,Judo,Judo Men's Heavyweight,Gold
Davit Marsagishvili,2012,M,Georgia,GEO,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
Davit Modzmanashvili,2012,M,Georgia,GEO,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
Davit Torosyan,1976,M,Soviet Union,URS,Montreal,Boxing,Boxing Men's Flyweight,Bronze
Davit Tsimak'uridze,1952,M,Soviet Union,URS,Helsinki,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
Davlat Bobonov,2020,M,Uzbekistan,UZB,Tokyo,Judo,Men -90 kg,Bronze
Davlat Boltaev,2024,M,Tajikistan,TJK,Paris,Boxing,Men's 92kg,Bronze
Davor Dominikovi,2004,M,Croatia,CRO,Athina,Handball,Handball Men's Handball,Gold
Davor Tefanek,2016,M,Serbia,SRB,Rio de Janeiro,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Gold
Davyd Tyshler,1956,M,Soviet Union,URS,Melbourne,Fencing,"Fencing Men's Sabre, Team",Bronze
Dawid Tomala,2020,M,Poland,POL,Tokyo,Athletics,Men's 50km Race Walk,Gold
Dawn -nelson),2008,F,United States,USA,Beijing,Athletics,Athletics Women's 100 metres Hurdles,Gold
Dawn Fraser,1956,F,Australia,AUS,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Dawn Fraser,1956,F,Australia,AUS,Melbourne,Swimming,Swimming Women's 400 metres Freestyle,Silver
Dawn Fraser,1956,F,Australia,AUS,Melbourne,Swimming,Swimming Women's 100 metres Freestyle,Gold
Dawn Staley,1996,F,United States,USA,Atlanta,Basketball,Basketball Women's Basketball,Gold
Dayan Jorge,2020,M,Cuba,CUB,Tokyo,Canoe Sprint,Men's Canoe Double 1000m Team,Gold
Daynellis Poll,2008,F,Cuba,CUB,Beijing,Taekwondo,Taekwondo Women's Flyweight,Bronze
Dayron Planes,2008,M,Cuba,CUB,Beijing,Athletics,Athletics Men's 110 metres Hurdles,Gold
De Andre,2024,M,Canada,CAN,Paris,Athletics,Men's 4 x 100m Relay,Gold
De'Hashia Trotter,2004,F,United States,USA,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
DeLisha Milton-jones,2000,F,United States,USA,Sydney,Basketball,Basketball Women's Basketball,Gold
DeMar Derozan,2016,M,United States,USA,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
DeMarcus Cousins,2016,M,United States,USA,Rio de Janeiro,Basketball,Basketball Men's Basketball,Gold
Dean Butler,2004,M,Australia,AUS,Athina,Hockey,Hockey Men's Hockey,Gold
Dean Crawford,1984,M,Canada,CAN,Los Angeles,Rowing,Rowing Men's Coxed Eights,Gold
Dean Evans,1992,M,Australia,AUS,Barcelona,Hockey,Hockey Men's Hockey,Silver
Dean Glenesk,1984,M,United States,USA,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Dean Pullar,2000,M,Australia,AUS,Sydney,Diving,Diving Men's Synchronized Springboard,Bronze
Dean Woods,1984,M,Australia,AUS,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Deanne Rose,2016,F,Canada,CAN,Rio de Janeiro,Football,Football Women's Football,Bronze
Dearica Hamby,2024,F,United States,USA,Paris,3x3 Basketball,Women,Bronze
Debora -christopher),1976,F,United States,USA,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Deborah (-asay),1988,F,United States,USA,Seoul,Archery,Archery Women's Team,Bronze
Deborah (-vargas),1984,F,United States,USA,Los Angeles,Volleyball,Volleyball Women's Volleyball,Silver
Deborah (-weber),1968,F,United States,USA,Mexico City,Swimming,Swimming Women's 400 metres Freestyle,Gold
Deborah (-weber),1968,F,United States,USA,Mexico City,Swimming,Swimming Women's 200 metres Freestyle,Gold
Deborah (-weber),1968,F,United States,USA,Mexico City,Swimming,Swimming Women's 800 metres Freestyle,Gold
Deborah (-zemba),1976,F,Canada,CAN,Montreal,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Deborah (-zemba),1976,F,Canada,CAN,Montreal,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Deborah Bowman-sullivan,1988,F,Australia,AUS,Seoul,Hockey,Hockey Women's Hockey,Gold
Deborah Ferguson-mckenzie,1996,F,Bahamas,BAH,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
Deborah Flood,2004,F,Great Britain,GBR,Athina,Rowing,Rowing Women's Quadruple Sculls,Silver
Deborah Gelisio,2000,F,Italy,ITA,Sydney,Shooting,Shooting Women's Double Trap,Silver
Deborah Mcdonald,2004,F,United States,USA,Athina,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
Deborah Watson,2000,F,Australia,AUS,Sydney,Water Polo,Water Polo Women's Water Polo,Gold
Deborah Wilson,1976,F,United States,USA,Montreal,Diving,Diving Women's Platform,Bronze
Debra Flintoff-king,1988,F,Australia,AUS,Seoul,Athletics,Athletics Women's 400 metres Hurdles,Gold
Dechang Zhang,2020,M,China,CHN,Tokyo,Rowing,Women's Eight Team,Bronze
Declan Brooks,2020,M,Great Britain,GBR,Tokyo,Cycling BMX Freestyle,Men's Park,Bronze
Deena (-schmidt),1972,F,United States,USA,Munich,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
Deena Drossin-kastor,2004,F,United States,USA,Athina,Athletics,Athletics Women's Marathon,Bronze
Deirdre Demet-barry,2004,F,United States,USA,Athina,Cycling,Cycling Women's Individual Time Trial,Silver
Dejah Mulipola,2020,F,United States,USA,Tokyo,Baseball/Softball,Softball Team,Silver
Dejan Bodiroga,1996,M,Serbia and Montenegro,SCG,Atlanta,Basketball,Basketball Men's Basketball,Silver
Dejan Brovi,1996,M,Serbia and Montenegro,SCG,Atlanta,Volleyball,Volleyball Men's Volleyball,Bronze
Dejan Dabovi,1968,M,Yugoslavia,YUG,Mexico City,Water Polo,Water Polo Men's Water Polo,Gold
Dejan Davidovac,2024,M,Serbia,SRB,Paris,Basketball,Men,Bronze
Dejan Georgievski,2020,M,North Macedonia,MKD,Tokyo,Taekwondo,Men +80kg,Silver
Dejan Majstorovic,2020,M,Serbia,SRB,Tokyo,3x3 Basketball,Men Team,Bronze
Dejan Savi,2000,M,Serbia and Montenegro,SCG,Sydney,Water Polo,Water Polo Men's Water Polo,Bronze
Dejan Tomaevi,1996,M,Serbia and Montenegro,SCG,Atlanta,Basketball,Basketball Men's Basketball,Silver
Dejen Gebremeskel,2012,M,Ethiopia,ETH,London,Athletics,"Athletics Men's 5,000 metres",Silver
Deji Aliu,2004,M,Nigeria,NGR,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Delaney Schnell,2020,F,United States,USA,Tokyo,Diving,Women's Synchronised 10m Platform Team,Silver
Delaney Spaulding,2020,F,United States,USA,Tokyo,Baseball/Softball,Softball Team,Silver
Delfina Merino,2012,F,Argentina,ARG,London,Hockey,Hockey Women's Hockey,Silver
Delma Gonalves,2004,F,Brazil,BRA,Athina,Football,Football Women's Football,Silver
Delorez Joyner,1984,F,United States,USA,Los Angeles,Athletics,Athletics Women's 200 metres,Silver
Delphine Racinet-reau,2000,F,France,FRA,Sydney,Shooting,Shooting Women's Trap,Silver
Demetrio Jarque,1996,M,Spain,ESP,Atlanta,Handball,Handball Men's Handball,Bronze
Demetrius Pinder,2012,M,Bahamas,BAH,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Demeu Zhadrayev,2024,M,Kazakhstan,KAZ,Paris,Wrestling,Men's Greco-Roman 77kg,Silver
Denean Howard-hill,1984,F,United States,USA,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Denes Varga,2020,M,Hungary,HUN,Tokyo,Water Polo,Men Team,Bronze
Deng Linlin,2008,F,China,CHN,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Gold
Deng Shudi,2016,M,China,CHN,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Deng Wei,2016,F,China,CHN,Rio de Janeiro,Weightlifting,Weightlifting Women's Middleweight,Gold
Deng Yaping,1992,F,China,CHN,Barcelona,Table Tennis,Table Tennis Women's Singles,Gold
Deng Yaping,1992,F,China-2,CHN,Barcelona,Table Tennis,Table Tennis Women's Doubles,Gold
Deni Fiorentini,2012,M,Italy,ITA,London,Water Polo,Water Polo Men's Water Polo,Silver
Deni Lui,1984,M,Yugoslavia,YUG,Los Angeles,Water Polo,Water Polo Men's Water Polo,Gold
Denia Ponce,2016,F,Cuba,CUB,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,Bronze
Denis Abliazin,2020,M,Russia,ROC,Tokyo,Artistic Gymnastics,Men's Team,Gold
Denis Abliazin,2020,M,Russia,ROC,Tokyo,Artistic Gymnastics,Men's Vault,Silver
Denis Ablyazin,2012,M,Russia,RUS,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Ablyazin,2012,M,Russia,RUS,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Bogdan,2020,M,Russia,ROC,Tokyo,Volleyball,Men Team,Silver
Denis Bunti,2012,M,Croatia,CRO,London,Handball,Handball Men's Handball,Bronze
Denis Chanut,2016,M,France,FRA,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
Denis Dmitriyev,2016,M,Russia,RUS,Rio de Janeiro,Cycling,Cycling Men's Sprint,Bronze
Denis Efik,2004,M,Serbia and Montenegro,SCG,Athina,Water Polo,Water Polo Men's Water Polo,Silver
Denis Kapustin,2000,M,Russia,RUS,Sydney,Athletics,Athletics Men's Triple Jump,Bronze
Denis Krivoshlykov,2000,M,Russia,RUS,Sydney,Handball,Handball Men's Handball,Gold
Denis Kudla,2016,M,Germany,GER,Rio de Janeiro,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Denis Lathoud,1992,M,France,FRA,Barcelona,Handball,Handball Men's Handball,Bronze
Denis Marconato,2004,M,Italy,ITA,Athina,Basketball,Basketball Men's Basketball,Silver
Denis Myk,2016,M,Slovakia,SVK,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Denis Mysak,2020,M,Slovakia,SVK,Tokyo,Canoe Sprint,Men's Kayak Four 500m Team,Bronze
Denis Nizhegorodov,2004,M,Russia,RUS,Athina,Athletics,Athletics Men's 50 kilometres Walk,Silver
Denis Oswald,1968,M,Switzerland,SUI,Mexico City,Rowing,Rowing Men's Coxed Fours,Bronze
Denis Pankratov,1996,M,Russia,RUS,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Denis Pankratov,1996,M,Russia,RUS,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,Gold
Denis Pankratov,1996,M,Russia,RUS,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,Gold
Denis Pigott,1976,M,Australia,AUS,Montreal,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Bronze
Denis Pimankov,1996,M,Russia,RUS,Atlanta,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Denis Poljari,2004,M,Croatia,CRO,Athina,Handball,Handball Men's Handball,Gold
Denis Tristant,1992,M,France,FRA,Barcelona,Handball,Handball Men's Handball,Bronze
Denis Tsargush,2012,M,Russia,RUS,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
Denis Ulanov,2016,M,Kazakhstan,KAZ,Rio de Janeiro,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
Denis Vegelj,1992,M,Slovenia,SLO,Barcelona,Rowing,Rowing Men's Coxless Pairs,Bronze
Denis Vieru,2024,M,Republic of Moldova,MDA,Paris,Judo,Men -66 kg,Bronze
Denise (-rutschmann),2004,F,Germany,GER,Athina,Hockey,Hockey Women's Hockey,Gold
Denise -smith),1988,F,United States,USA,Seoul,Archery,Archery Women's Team,Bronze
Denise Curry,1984,F,United States,USA,Los Angeles,Basketball,Basketball Women's Basketball,Gold
Denise Lewis,1996,F,Great Britain,GBR,Atlanta,Athletics,Athletics Women's Heptathlon,Bronze
Denisse Garca,1988,F,Peru,PER,Seoul,Volleyball,Volleyball Women's Volleyball,Silver
Dennis Bauer,2000,M,Germany,GER,Sydney,Fencing,"Fencing Men's Sabre, Team",Bronze
Dennis Blake,1996,M,Jamaica,JAM,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Dennis Conner,1976,M,United States,USA,Montreal,Sailing,Sailing Mixed Two Person Keelboat,Bronze
Dennis Eagan,1952,M,Great Britain,GBR,Helsinki,Hockey,Hockey Men's Hockey,Bronze
Dennis Geest,2004,M,Netherlands,NED,Athina,Judo,Judo Men's Heavyweight,Bronze
Dennis Green,1956,M,Australia,AUS,Melbourne,Canoeing,"Canoeing Men's Kayak Doubles, 10,000 metres",Bronze
Dennis Hall,1996,M,United States,USA,Atlanta,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
Dennis Koslowski,1988,M,United States,USA,Seoul,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Dennis Mitchell,1992,M,United States,USA,Barcelona,Athletics,Athletics Men's 100 metres,Bronze
Dennis Mitchell,1992,M,United States,USA,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
Dennis Stewart,1988,M,Great Britain,GBR,Seoul,Judo,Judo Men's Half-Heavyweight,Bronze
Denny Kantono,1996,M,Indonesia-1,INA,Atlanta,Badminton,Badminton Men's Doubles,Bronze
Denyi Reyes,2020,M,Dominican Republic,DOM,Tokyo,Baseball/Softball,Baseball Team,Bronze
Denys Berinchyk,2012,M,Ukraine,UKR,London,Boxing,Boxing Men's Light-Welterweight,Silver
Denys Carnill,1952,M,Great Britain,GBR,Helsinki,Hockey,Hockey Men's Hockey,Bronze
Denys Hotfrid,1996,M,Ukraine,UKR,Atlanta,Weightlifting,Weightlifting Men's Heavyweight I,Bronze
Denys Sylantiev,2000,M,Ukraine,UKR,Sydney,Swimming,Swimming Men's 200 metres Butterfly,Silver
Denys Yurchenko,2008,M,Ukraine,UKR,Beijing,Athletics,Athletics Men's Pole Vault,Bronze
Deok Kim,2020,M,South Korea,KOR,Tokyo,Archery,Men's Team,Gold
Deok Kim,2020,M,South Korea,KOR,Tokyo,Archery,Mixed Team,Gold
Deon Hemmings,1996,F,Jamaica,JAM,Atlanta,Athletics,Athletics Women's 400 metres Hurdles,Gold
Deon Lendore,2012,M,Trinidad and Tobago,TTO,London,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Deontay Wilder,2008,M,United States,USA,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
Derartu Tulu,1992,F,Ethiopia,ETH,Barcelona,Athletics,"Athletics Women's 10,000 metres",Gold
Derek Allhusen,1968,M,Great Britain,GBR,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Derek Allhusen,1968,M,Great Britain,GBR,Mexico City,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Derek Day,1952,M,Great Britain,GBR,Helsinki,Hockey,Hockey Men's Hockey,Bronze
Derek Drouin,2012,M,Canada,CAN,London,Athletics,Athletics Men's High Jump,Bronze
Derek Johnson,1956,M,Great Britain,GBR,Melbourne,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Derek Johnson,1956,M,Great Britain,GBR,Melbourne,Athletics,Athletics Men's 800 metres,Silver
Derek Mills,1996,M,United States,USA,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Derek Porter-nesbitt,1992,M,Canada,CAN,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
Deron Williams,2008,M,United States,USA,Beijing,Basketball,Basketball Men's Basketball,Gold
Derrick Adkins,1996,M,United States,USA,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
Derrick Brew,2004,M,United States,USA,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Derrick Brew,2004,M,United States,USA,Athina,Athletics,Athletics Men's 400 metres,Bronze
Derrick White,2024,M,United States,USA,Paris,Basketball,Men,Gold
Desai Williams,1984,M,Canada,CAN,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Deserie Huddleston-wakefield-baynes,1996,F,Australia,AUS,Atlanta,Shooting,Shooting Women's Double Trap,Bronze
Desire Doue,2024,M,France,FRA,Paris,Football,Men,Silver
Desiree Hendriks,1984,F,Netherlands,NED,Los Angeles,Hockey,Hockey Women's Hockey,Gold
Desiree Henry,2016,F,Great Britain,GBR,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Desiree Scott,2012,F,Canada,CAN,London,Football,Football Women's Football,Bronze
Desmond Abbott,2008,M,Australia,AUS,Beijing,Hockey,Hockey Men's Hockey,Bronze
Desmond Koch,1956,M,United States,USA,Melbourne,Athletics,Athletics Men's Discus Throw,Bronze
Desmond Piper,1964,M,Australia,AUS,Tokyo,Hockey,Hockey Men's Hockey,Bronze
Destinee Hooker,2012,F,United States,USA,London,Volleyball,Volleyball Women's Volleyball,Silver
Detlef Hofmann,1996,M,Germany,GER,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Detlef Kirchhoff,1988,M,East Germany,GDR,Seoul,Rowing,Rowing Men's Coxed Pairs,Silver
Detlef Kstner,1980,M,East Germany,GDR,Moskva,Boxing,Boxing Men's Light-Middleweight,Bronze
Detlef Lewe,1968,M,West Germany,FRG,Mexico City,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
Detlef Ultsch,1980,M,East Germany,GDR,Moskva,Judo,Judo Men's Middleweight,Bronze
Detlev Grabs,1980,M,East Germany,GDR,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Detlev Kittstein,1972,M,West Germany,FRG,Munich,Hockey,Hockey Men's Hockey,Gold
Devereaux Mytton,1956,M,Buraddoo,AUS,Melbourne,Sailing,Sailing Mixed 5.5 metres,Bronze
Devin Booker,2020,M,United States,USA,Tokyo,Basketball,Men Team,Gold
Devinder Singh,1980,M,India,IND,Moskva,Hockey,Hockey Men's Hockey,Gold
Devon Morris,1988,M,Jamaica,JAM,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Dezs Novk,1960,M,Hungary,HUN,Roma,Football,Football Men's Football,Bronze
Dharam Gill,1952,M,India,IND,Helsinki,Hockey,Hockey Men's Hockey,Gold
Dharam Singh,1964,M,India,IND,Tokyo,Hockey,Hockey Men's Hockey,Gold
Diadenys Castellanos,1996,F,Cuba,CUB,Atlanta,Judo,Judo Women's Half-Heavyweight,Bronze
Diamond Dixon,2012,F,United States,USA,London,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Diana (-depetro),2000,F,United States,USA,Sydney,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
Diana (-depetro),2000,F,United States,USA,Sydney,Swimming,Swimming Women's 400 metres Freestyle,Silver
Diana (-prodanova),1972,F,Bulgaria,BUL,Munich,Athletics,Athletics Women's Long Jump,Silver
Diana (-takouk),2000,F,Switzerland,SUI,Sydney,Fencing,"Fencing Women's epee, Team",Silver
Diana (sachse-),1988,F,East Germany,GDR,Seoul,Athletics,Athletics Women's Discus Throw,Silver
Diana Bacosi,2016,F,Italy,ITA,Rio de Janeiro,Shooting,Shooting Women's Skeet,Gold
Diana Bianchedi,1992,F,Italy,ITA,Barcelona,Fencing,"Fencing Women's Foil, Team",Gold
Diana Bulimar,2012,F,Romania,ROU,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Diana Chelaru,2012,F,Romania,ROU,London,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Diana Clapham,1984,F,Great Britain,GBR,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Silver
Diana Dilova-braynova,1976,F,Bulgaria,BUL,Montreal,Basketball,Basketball Women's Basketball,Bronze
Diana Duarte,2024,F,Brazil,BRA,Paris,Volleyball,Women,Bronze
Diana Dudeva,1988,F,Bulgaria,BUL,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Diana Gustilina,2004,F,Russia,RUS,Athina,Basketball,Basketball Women's Basketball,Bronze
Diana Ilit,2000,F,Lithuania,LTU,Sydney,Cycling,"Cycling Women's Road Race, Individual",Bronze
Diana Lopez,2008,F,United States,USA,Beijing,Taekwondo,Taekwondo Women's Featherweight,Bronze
Diana Matheson,2012,F,Canada,CAN,London,Football,Football Women's Football,Bronze
Diana Mocanu,2000,F,Romania,ROU,Sydney,Swimming,Swimming Women's 200 metres Backstroke,Gold
Diana Mocanu,2000,F,Romania,ROU,Sydney,Swimming,Swimming Women's 100 metres Backstroke,Gold
Diana Paliyska,1988,F,Bulgaria,BUL,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Bronze
Diana Paliyska,1988,F,Bulgaria,BUL,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
Diana Shnaider,2024,F,AIN,AIN,Paris,Tennis,Women's Doubles,Silver
Diana Svertsov,2024,F,Israel,ISR,Paris,Rhythmic Gymnastics,Group All-Around,Silver
Diana Taurasi,2004,F,United States,USA,Athina,Basketball,Basketball Women's Basketball,Gold
Diana Yorgova,1996,F,Bulgaria,BUL,Atlanta,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
Diandra Tchatchouang,2020,F,France,FRA,Tokyo,Basketball,Women Team,Bronze
Diane (-trouse),1984,F,United States,USA,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
Diane Moyer,1984,F,United States,USA,Los Angeles,Hockey,Hockey Women's Hockey,Bronze
Diane O'grady,1996,F,Canada,CAN,Atlanta,Rowing,Rowing Women's Quadruple Sculls,Bronze
Dibora Gravenstijn,2004,F,Netherlands,NED,Athina,Judo,Judo Women's Lightweight,Bronze
Didier Boub,1984,M,France,FRA,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Team,Bronze
Didier Courrges,2004,M,France,FRA,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Didier Dinart,2008,M,France,FRA,Beijing,Handball,Handball Men's Handball,Gold
Didier Faivre-pierret,1992,M,France,FRA,Barcelona,Cycling,Cycling Men's 100 kilometres Team Time Trial,Bronze
Didier Flament,1976,M,France,FRA,Montreal,Fencing,"Fencing Men's Foil, Team",Bronze
Didier Hoyer,1984,M,France,FRA,Los Angeles,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Bronze
Didier Snac,1984,M,France,FRA,Los Angeles,Football,Football Men's Football,Gold
Didier Vavasseur,1984,M,France,FRA,Los Angeles,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Diederik Simon,1996,M,Netherlands,NED,Atlanta,Rowing,Rowing Men's Coxed Eights,Gold
Diederik Weel,2000,M,Netherlands,NED,Sydney,Hockey,Hockey Men's Hockey,Gold
Diego Botin,2024,M,Spain,ESP,Paris,Sailing,Men's Skiff,Gold
Diego Cceres,2004,M,Paraguay,PAR,Athina,Football,Football Men's Football,Silver
Diego Confalonieri,2008,M,Italy,ITA,Beijing,Fencing,"Fencing Men's epee, Team",Bronze
Diego Cunha,2008,M,Brazil,BRA,Beijing,Football,Football Men's Football,Bronze
Diego Dominguez,2024,M,Spain,ESP,Paris,Canoe Sprint,Men's Canoe Double 500m,Bronze
Diego Hyplito,2016,M,Brazil,BRA,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,Silver
Diego Lainez,2020,M,Mexico,MEX,Tokyo,Football,Men Team,Bronze
Diego Lopez,2024,M,Spain,ESP,Paris,Football,Men,Gold
Diego Matiauda,2004,M,Paraguay,PAR,Athina,Football,Football Men's Football,Silver
Diego Occhiuzzi,2008,M,Italy,ITA,Beijing,Fencing,"Fencing Men's Sabre, Team",Bronze
Diego Paschetta,2008,M,Italy,ITA,Beijing,Sailing,Sailing Men's One Person Dinghy,Bronze
Diego Quintero,2008,M,Colombia,COL,Beijing,Weightlifting,Weightlifting Men's Featherweight,Silver
Diego Rende,2008,M,Argentina,ARG,Beijing,Football,Football Men's Football,Gold
Diego Rosales,2012,M,Mexico,MEX,London,Football,Football Men's Football,Gold
Diego Simeone,1996,M,Argentina,ARG,Atlanta,Football,Football Men's Football,Silver
Diego Sotolongo,1976,M,Cuba,CUB,Montreal,Volleyball,Volleyball Men's Volleyball,Bronze
Dieter Baumann,1988,M,West Germany,FRG,Seoul,Athletics,"Athletics Men's 5,000 metres",Silver
Dieter Below,1976,M,East Germany,GDR,Montreal,Sailing,Sailing Mixed Three Person Keelboat,Bronze
Dieter Engelhardt,1964,M,Germany,GER,Tokyo,Football,Football Men's Football,Bronze
Dieter Freise,1972,M,West Germany,FRG,Munich,Hockey,Hockey Men's Hockey,Gold
Dieter Gieseler,1960,M,Germany,GER,Roma,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
Dieter Grahn,1968,M,East Germany,GDR,Mexico City,Rowing,Rowing Men's Coxless Fours,Gold
Dieter Khn,1980,M,East Germany,GDR,Moskva,Football,Football Men's Football,Silver
Dieter Kottysch,1972,M,West Germany,FRG,Munich,Boxing,Boxing Men's Light-Middleweight,Gold
Dieter Krause,1960,M,Germany,GER,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
